Temperature (K)	Pressure (MPa)	"Density (l, mol/m3)"	"Volume (l, m3/mol)"	"Internal Energy (l, kJ/mol)"	"Enthalpy (l, kJ/mol)"	"Entropy (l, J/mol*K)"	"Cv (l, J/mol*K)"	"Cp (l, J/mol*K)"	"Density (v, mol/m3)"	"Volume (v, m3/mol)"	"Internal Energy (v, kJ/mol)"	"Enthalpy (v, kJ/mol)"	"Entropy (v, J/mol*K)"	"Cv (v, J/mol*K)"	"Cp (v, J/mol*K)"
327	0.014913849	54742.903	1.83E-05	4.061182362	4.061454796	13.57159792	72.19623054	75.35330121	5.509814973	0.181494298	44.0982269	46.80500542	144.28582	26.49962711	35.1896527
328	0.015649174	54716.26847	1.83E-05	4.136536508	4.136822514	13.8016875	72.10677591	75.35959508	5.764659671	0.173470778	44.1219743	46.83664878	143.9840846	26.52214231	35.22166388
329	0.016415263	54689.28938	1.83E-05	4.21189695	4.212197105	14.03109585	72.01694775	75.36616377	6.029351721	0.16585531	44.14568738	46.86824591	143.6847396	26.5449878	35.25422411
330	0.017213152	54661.96935	1.83E-05	4.287263953	4.287578855	14.25982791	71.92676129	75.37300461	6.304189765	0.158624667	44.16936544	46.89979589	143.3877583	26.56817315	35.2873478
331	0.018043903	54634.31187	1.83E-05	4.362637783	4.36296805	14.48788857	71.83623159	75.38011551	6.589478655	0.151757074	44.19300781	46.93129776	143.0931143	26.59170791	35.32104943
332	0.018908606	54606.32035	1.83E-05	4.438018701	4.438364972	14.71528268	71.7453736	75.38749488	6.885529508	0.145232113	44.21661377	46.96275057	142.8007815	26.61560163	35.35534351
333	0.019808374	54577.99809	1.83E-05	4.513406967	4.513769904	14.94201503	71.65420212	75.39514163	7.192659756	0.139030628	44.24018261	46.99415335	142.5107341	26.63986381	35.39024461
334	0.020744349	54549.34829	1.83E-05	4.588802842	4.589183128	15.16809036	71.56273182	75.40305512	7.511193198	0.13313464	44.26371363	47.02550511	142.2229466	26.66450396	35.42576734
335	0.021717698	54520.37408	1.83E-05	4.664206583	4.664604924	15.39351339	71.4709772	75.41123515	7.841460056	0.127527271	44.2872061	47.05680487	141.9373938	26.68953154	35.46192637
336	0.022729615	54491.07848	1.84E-05	4.73961845	4.740035575	15.61828877	71.37895262	75.41968191	8.183797017	0.122192669	44.3106593	47.08805162	141.6540508	26.71495601	35.49873642
